S.No,Article Title,Publication Year,Authors,Study Objectives,Reported Challenges,Reported Limitations,Dataset Name,Dataset Size,Performance Metrics,Model Used,Methods Employed,Techniques Applied,Applications,Tasks Addressed,Research Gaps in Conversational AI,Gap-Oriented Critical Remarks
11,Amharic political sentiment analysis using deep learning approaches,2023,"Fikirte Alemayehu, Million Meshesha, Jemal Abate",To construct a deep-learning sentiment analysis model for Amharic political sentiment,Need for a more extensive and diverse dataset; identification of nuanced sentiments like sarcasm and figurative speech,Existing methods struggle with the linguistic complexity of Amharic; limited dataset diversity,"Comments from social media platforms, including official pages of political figures and parties",5000 comments,"Accuracy, Precision, Recall",,,,"Political sentiment analysis; potential applications in agriculture, industry, tourism, and entertainment",Sentiment classification of Amharic political discourse,Lack of flexibility in adapting English-based NLP methods to Amharic; need for better handling of contextual nuances in conversational AI systems,Importance of developing a standardized corpus for Amharic; necessity for capturing nuanced sentiments; potential for multi-class classification approaches for finer-grained analysis
12,Amharic Speech Search Using Text Word Query Based on Automatic Sentence‑like Segmentation,2022,"Getnet Mezgebu Brhanemeskel, Solomon Teferra Abate, Tewodros Alemu Ayall, Abegaz Mohammed Seid",To investigate the effects of manual and automatic speech segmentation on Amharic audio files and to propose an Amharic speech search system using text word queries based on automatic sentence-like segmentation.,"- Difficulty in searching for specific words in long audio files due to the unique characteristics of the Amharic language (e.g., glottal, palatal, and labialized consonants). <br>- Limitations of existing automatic speech recognition (ASR) systems when ","- The proposed ASR system achieved a word error rate (WER) of 53%, indicating room for improvement. <br>- The performance of the ASR was affected by the segmentation method used. <br>- The study primarily focused on spiritual and broadcast news domains,",#NAME?,- 1 hour and 35 minutes of in-domain training speech for the acoustic model and 1050 text sentences for the language model.,- Word Error Rate (WER) for ASR performance evaluation. <br>- Actual Term-Weighted Value (ATWV) for spoken term detection accuracy.,,,,- Speech search system for Amharic audio files using text word queries. <br>- Potential applications in audio information retrieval and multimedia content indexing.,- Segmenting Amharic audio files. <br>- Transcribing segmented speech. <br>- Searching for specific words in audio files based on user queries.,- Limited research on speech searching technologies for low-resource languages like Amharic. <br>- Need for improved ASR systems that can handle the unique phonetic characteristics of Amharic. <br>- Lack of comprehensive studies on the integration of AS,"- The study highlights the need for further research to enhance ASR accuracy, particularly for OOV words. <br>- There is a significant gap in the application of advanced machine learning techniques in ASR for Amharic. <br>- Future work should focus on d"
13,Amharic Text Chunker Using Conditional Random Fields,2022,"Birhan Hailu Getaneh, Birchiko Achamyeleh G/Micheal, Gebeyehu Belay",To develop an Amharic text chunker using Conditional Random Fields (CRFs) and to optimize the feature set for improved accuracy in chunking Amharic text.,"- Limited computational linguistic resources for the Amharic language. <br>- The existing Amharic text chunking methods (like HMM) have limitations, including label bias problems. <br>- The need for a well-designed text chunker for Amharic to support va",- The study is based on a small corpus of 450 sentences. <br>- The previous work on Amharic text chunking did not cover all types of sentences. <br>- The performance of the proposed chunker may vary based on the selected features and the size of the tra,"- Collected from Amharic grammar books, news articles, and the Walta Information Center (WIC). <br>- Manually tagged for POS and chunking.","- 450 Amharic sentences totaling 4,020 tokens (3,618 tokens for training and 402 tokens for testing).","- Maximum accuracy of 97.26% achieved with a window size of two on both sides, and a minimum accuracy of 84.57% with a window size of one on both sides.",,,,#NAME?,"- Chunking Amharic text into syntactically related phrases (e.g., noun phrases, verb phrases).",- Lack of well-developed NLP tools for Amharic and other Ethiopian languages. <br>- Need for more research on integrating text chunking with conversational AI applications.,- The study emphasizes the need for further research to enhance the performance of Amharic text chunkers. <br>- There is a significant gap in the application of advanced machine learning techniques for Amharic NLP tasks. <br>- Future work should focus o
14,Amharic spoken digits recognition using convolutional neural network,2024,"Tewodros Alemu Ayall, Changjun Zhou, Huawen Liu, Getnet Mezgebu Brhanemeskel, Solomon Teferra Abate, Michael Adjeisah",To develop a new Amharic spoken digits dataset (AmSDD) and an Amharic spoken digits recognition (AmSDR) model using convolutional neural networks (CNN) to improve recognition accuracy for spoken digits in the Amharic language.,"- Lack of a publicly available Amharic spoken digits dataset. <br>- Difficulty in developing effective speech recognition systems for under-resourced languages like Amharic. <br>- Variability in speech due to different dialects, genders, and ages of spe","- The study primarily focuses on digit recognition, which may not generalize to other speech recognition tasks. <br>- The dataset is limited to digits 0-9, which restricts the application scope. <br>- The performance may vary based on the feature extrac",Amharic Spoken Digits Dataset (AmSDD) containing recordings of digits 0 to 9 from 120 volunteer speakers.,"12,000 utterances (1,200 utterances for each digit, recorded 10 times by each speaker).","- Accuracy: 99% using MFCC features and 98% using Mel-Spectrogram features. <br>- Precision, Recall, and F1-Score metrics were also evaluated, with the CNN model achieving high scores across these metrics.",,,,"- Human-machine interaction applications such as dialing systems, banking operations, and airline reservation systems. <br>- Potential for broader applications in automatic speech recognition for other Ethiopian languages.",- Recognition of spoken digits in the Amharic language. <br>- Development of a dataset for training and testing speech recognition models.,- Limited research on automatic speech recognition systems for Amharic and other Ethiopian languages. <br>- Need for more datasets and models to support conversational AI applications in low-resource languages.,- The study highlights the necessity for further research to enhance speech recognition systems for Amharic. <br>- There is a significant gap in the application of advanced machine learning techniques for Amharic and other Ethiopian languages. <br>- Fut
15,Amharic Text Complexity Classification Using Supervised Machine Learning,2023,Gebregziabihier Nigusie1(B) and Tesfa Tegegne2,Develop a complexity classification model for Amharic texts using supervised machine learning.,Difficulty in comprehension for second language learners and low literacy readers due to complex lexicons.,(Not specified in the text),5126 sentences of Amharic text,5126 sentences,"Classification accuracy, Mean Square Error (MSE), Root Mean Square Error (RMSE)",,,,"NLP tasks, machine translation, readability assessment",Classification of Amharic text complexity,(Not specified in the text),Future research should focus on the simplification process of identified complex texts.
16,Amharic Text News Classification,2019,"Misrak Assefa, Vishal Goyal",To design an automatic Amharic news classification using supervised learning.,Difficulty in searching useful documents on specific topics in Amharic due to information overload.,Limited research on Amharic document classification using machine learning.,"4,182 Amharic news articles","4,182 articles","Accuracy, confusion matrix, k-fold cross-validation",,,,"Automatic news categorization, text classification",Classifying Amharic news into predefined categories,Not explicitly mentioned; potential for future exploration.,Need for further research on decision tree classifiers for Amharic document classification.
17,Amharic Text Summarization for News Items Posted on Social Media,2021,"Abaynew Guadie, Debela Tesfaye, Teferi Kebebew",To summarize news items posted in Amharic on social media (Twitter and Facebook) to help users find important information amid information overload and duplicate documents.,"Information overload, duplicate posted documents, difficulty in retrieving relevant information from increasing volumes of Amharic texts on social media.",Limited recent efforts in automation and language processing for Amharic texts; challenges in maintaining coherence and relevance in summarization due to the noisy nature of social media posts.,"Amharic text documents from social media, specifically from Twitter and Facebook.","4,951 posted sentences (including categories: protests, droughts, floods, sports).","F-measure scores (e.g., 87.07% for protests, 84% for droughts, 91.37% for sports, and 93.52% for general summaries at 30% extraction rate).",,,,Automatic summarization of social media posts in Amharic for better information retrieval by users.,"Summarizing news posts, clustering similar documents, extracting key sentences for summaries.","Lack of automated systems for processing and summarizing Amharic texts in a conversational AI context, particularly in real-time settings.","There is a need for more integrated approaches to automate summarization in multilingual contexts, especially for under-resourced languages like Amharic, to enhance user engagement and information retrieval in conversational AI applications."
18,Amharic-English Speech Translation in Tourism Domain,2017,"Michael Melese Woldeyohannis, Laurent Besacier, Million Meshesha","To develop an Amharic-English speech translation system for the tourism domain, focusing on automatic speech recognition (ASR) and statistical machine translation (SMT).",Lack of standardized speech and text corpora for ASR and SMT in Amharic; difficulties in recognizing and translating morphemes and words accurately due to language complexity and resource limitations.,Limited availability of digital resources for under-resourced languages like Amharic; existing tools and datasets are not accessible; challenges in error propagation through cascading translation components.,Amharic-English parallel corpus prepared from the Basic Traveller Expressions Corpus (BTEC) and a 20-hour read speech corpus for ASR.,"28,084 parallel sentences for the Amharic-English corpus; 20 hours of read speech data.","BLEU scores (e.g., 12.83 for word-based translation, 6.29 for morpheme-based); word recognition accuracy up to 78.5%.",,,,Speech translation systems in the tourism sector to facilitate communication between speakers of Amharic and English.,"Speech recognition, speech translation, post-editing of recognition results, and evaluation of translation accuracy.",Need for integrated systems to improve speech recognition and translation in under-resourced languages like Amharic; lack of conversational AI applications leveraging speech translation technologies.,"The study highlights the necessity for further research to develop comprehensive speech translation systems, including error correction mechanisms, to enhance performance in real-world applications, particularly for under-resourced languages."
19,An Amharic Stemmer: Reducing Words to their Citation Forms,2007,"Atelach Alemu Argaw, Lars Asker",To develop a stemmer for Amharic that reduces words to their citation forms for cross-language information retrieval (CLIR) applications.,Complexity of Amharic morphology; limited computational resources; ambiguity in word segmentation; and insufficient existing morphological analysis tools.,The stemmer's reliance on a limited set of machine-readable dictionaries (MRDs); performance affected by the overlap in dictionary entries; and dependency on specific morphological rules.,"A collection of news articles from Ethiopian News Headlines (ENH), Walta Information Center (WIC), and the Amharic novel ""Fikir Iske Meqabir"".",3.1 million words from ENH; additional texts from WIC and the novel for evaluation.,"Accuracy rates: 60% for fiction text, 76.9% for news articles; performance based on unique words and number of matches in dictionaries.",,,,Used in cross-language information retrieval (CLIR) to facilitate lookup of terms in machine-readable dictionaries.,"Stemming of Amharic words, segmentation into citation forms, and evaluation of stemming accuracy.",Limited resources and tools for processing Amharic in conversational AI; need for more comprehensive morphological analysis and integration with AI systems.,There is a need for improved disambiguation strategies incorporating contextual information and part-of-speech tagging; collaboration among researchers in developing NLP resources for Amharic and other Semitic languages is essential.
20,ANEC: An Amharic Named Entity Corpus and Transformer Based Recognizer,2015,Ebrahim Chekol Jibril and A. Cüneyd Tantuğ,Develop an Amharic named entity recognition system using deep learning (BiLSTM-CRF) and create a publicly available dataset.,"Lack of capitalization in Amharic, agglutinative morphology, orthographic variation.","Limited research on NER for Amharic; previous studies used different training datasets, making comparisons difficult.",Amharic named entity recognition dataset," 8,070 sentences, 182,691 tokens", F1 score of 93%,,,," Machine translation, information retrieval, question answering",Named Entity Recognition (NER),Limited studies on low-resource languages; need for benchmarks and standardized datasets.,Emphasizes the need for a unified approach to NER in Amharic and the potential for integrating NER into larger conversational AI frameworks.
21,Argument mining from Amharic argumentative texts using machine learning approach,2023,"Mikru Lake Melie, Debela Tesfaye, Alemu Kumilachew Tegegnie, Derejaw Lake Melie",To design and implement an argument relation prediction system for Amharic using machine learning algorithms., Lack of annotated data for Amharic argumentative texts; difficulty in identifying argument relations., Limited dataset size; reliance on specific machine learning models; the complexity of argument relation predictions.,Amharic argumentative sentences collected from various media sources.,815 argumentative sentences.,"F-scores of 68%, 84%, and 88% for Naïve Bayes, MLP, and SVM, respectively, based on combined features.",,,,"Enhancing argument mining in natural language processing tasks, particularly for Amharic texts.","Argument relation prediction (support, attack, neutral).",Limited research on argument mining for low-resource languages; potential for integrating argument mining into conversational AI frameworks.,Emphasis on the need for a larger annotated dataset for Amharic; the importance of exploring deep learning techniques for better performance.
22,Automated all in one misspelling detection and correction system for Ethiopian languages,2022,"Wubetu Barud Demilie, Ayodeji Olalekan Salau",Develop a misspelling detection and correction system for six Ethiopian languages,Lack of linguistic resources for low-resource languages; difficulties in developing reliable systems,None explicitly stated; focuses on performance rather than limitations,"Dictionary-based datasets for Amharic, Afan Oromo, Tigrinya, Hadiyyisa, Kambatissa, Awngi languages","Varies for each language (e.g., Amharic: 1,009,072 words)","Precision, recall, f-measure",,,,Integrated with word processing tools; user-friendly interface for multiple languages,Misspelling detection and correction for Ethiopian languages,Limited resources for natural language processing in Ethiopian languages; need for more robust systems,Future research needed to improve datasets and develop more comprehensive systems for Ethiopian languages
23,Automated Amharic News Categorization Using Deep Learning Models,2021,"Demeke Endalie, Getamesay Haile",To improve the classification accuracy of Amharic documents using deep learning and pretrained fastText.,Lack of language resources for Amharic; dimensionality reduction in high-dimensional feature space.,Limited to six news categories; reliance on pretrained models; need for substantial preprocessing.,"Amharic news documents collected from various news sources (e.g., ENA, FBC, WIC).","3,600 documents","Accuracy, Precision, Recall, F-measure",,,,"Automatic document organization, topic extraction, information retrieval for Amharic documents.","Document classification into six categories: business, education, health, technology, politics, and sports.",Limited exploration of deep learning for Amharic; potential for integrating conversational AI in text classification tasks.,Need for more robust datasets; exploration of hybrid models combining CNN with other deep learning techniques; further studies on real-time classification.
24,Automatic Amharic Text Summarization using NLP Parser,2017,"Getahun Tadesse Mekuria, Aniket S. Jagtap",Investigate applications of domain-based approaches to automatic Amharic text document summarization.,"Complexity of existing summarization techniques, need for unbiased human expert, and accuracy issues.",Most research focused on extractive techniques; limited development in abstractive methods.,"Collected from various Amharic text documents, including news articles.",Not explicitly stated in the document.,"Precision, recall, and F-measure used for evaluation.",,,,"Automated summarization for news, reports, and other textual documents.",Summarization of single and multiple document inputs based on user needs.,Limited research on integrating conversational AI with text summarization techniques for Amharic.,Need for improved abstractive techniques and integration with AI for more effective summarization.
25,Automatic Generation of Stopwords in the Amharic Text,2018,"Sileshi Girmaw Miretie, Vijayshri Khedkar",To propose an automatic method for identifying stopwords in Amharic text using word frequency and entropy measures.,Lack of standard methods for stopword identification in Amharic; reliance on static or dictionary-based approaches.,"Existing methods are inefficient, time-consuming, and may not adapt well to the unique structure of the Amharic language.","Amharic newspapers, magazines, and blogs",Not explicitly stated in the document.,Not specified; focuses on efficiency and accuracy of stopword identification.,,,,Information retrieval and natural language processing for the Amharic language.,Identification and generation of stopword lists for Amharic text.,Lack of integration of stopword generation methods with conversational AI systems for Amharic.,Need for more dynamic and adaptable stopword generation techniques that can improve information retrieval in AI contexts.
26,Automatic Sentence Parser for Amharic Language Using SVM,2022,"Birchiko Achamyeleh, Berhan Hailu, Getachew Mamo",To build and evaluate an automatic sentence parser for Amharic using a supervised machine learning approach (SVM).,Lack of a good sentence parser for the Amharic language; previous parsers limited to simple sentences.,Previous parsers were limited in scope (only 4-word sentences) and size (small corpus).,"WIC corpus, Amharic grammar book, news articles, and magazines.","370 sentences (333 for training, 37 for testing).","Precision: 0.989, Recall: 0.989, F-score: 0.989, Overall accuracy: 98.913%.",,,,"Grammar checking, question answering, information extraction, and other NLP applications.",Automatic sentence parsing for the Amharic language.,Limited integration of sentence parsing capabilities for conversational AI applications in Amharic.,Need for more comprehensive parsers that handle a wider variety of sentence types and larger datasets for improved performance.
27,Automatic Idiom Identification Model for Amharic Language,2023,"Anduamlak Abebe Fenta, Seffi Gebeyehu",To build a model for identifying idioms in the Amharic language using a supervised machine learning approach.,Lack of standardized methods for identifying Amharic idioms; complexities in idiomatic expressions.,Insufficient organized resources for Amharic idioms; reliance on manual collection of idiomatic expressions.,800 labeled idiomatic expressions from Amharic idiom books and various Amharic documents.,"1,000 expressions (800 for training, 200 for testing).","Accuracy: 97.5%, Precision, Recall, F-score.",,,,"Natural Language Processing tasks such as machine translation, sentiment analysis, and semantic analysis.",Identifying idiomatic expressions in Amharic text.,Lack of idiom recognition capabilities in existing conversational AI for Amharic.,Need for more research on idiom recognition to support better understanding in NLP applications.
28,Babler - Data Collection from the Web to Support Speech Recognition and Keyword Search,2016,"Gideon Mendels, Erica Cooper, Julia Hirschberg","To collect web data for Low Resource Languages (LRLs) to augment language model training data for Automatic Speech Recognition (ASR) and keyword search, reducing Out-of-Vocabulary (OOV) rates.","Difficulty in collecting sufficient web data for LRLs due to their smaller online presence, language identification complexities, and the need for genre-specific data for ASR training.","The need for targeted sources and potential issues with data quality and noise from web data, as well as limitations in the representation of certain languages in available web data.","Data collected from blogs, Twitter, forums, TED talks, news articles, and Wikipedia.","Varied; specific sizes not provided, but references to subsets (Full, Limited, Very Limited Language Packs) suggest substantial datasets for each language.","Out-of-Vocabulary (OOV) rates, Word Error Rate (WER), Actual Term Weighted Value (ATWV), Maximum Term Weighted Value (MTWV).",,,,Enhancing Automatic Speech Recognition and keyword search capabilities for Low Resource Languages.,"Data collection, language model training, keyword search optimization, OOV rate reduction.",Limited research on web data collection techniques specifically for Low Resource Languages and their application in conversational AI contexts.,"The article highlights the need for more robust methodologies tailored for LRLs in conversational AI, emphasizing the importance of genre-specific data for effective ASR and KWS performance in real-world scenarios."
